,no,question1,question2,grade,lang,q1_tokens,q2_tokens
99,119,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,take words nodes contextual semantic info need corpus start link nodes used sentence give weight links according usage frequency birlikte kullanlma frekans choose word weight system created,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['take', 'words', 'nodes', 'contextual', 'semantic', 'info', 'need', 'corpus', 'start', 'link', 'nodes', 'used', 'sentence', 'give', 'weight', 'links', 'according', 'usage', 'frequency', 'birlikte', 'kullan\x8dlma', 'frekans\x8d', 'choose', 'word', 'weight', 'system', 'created']"
100,120,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use surronding bag words method check words textafter checking meanings understand text text fishing accept coast else financial institution accept bank,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'surronding', 'bag', 'words', 'method', 'check', 'words', 'textafter', 'checking', 'meanings', 'understand', 'text', 'text', 'fishing', 'accept', 'coast', 'else', 'financial', 'institution', 'accept', 'bank']"
101,121,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,difficulty semantic ambiguity machine translation use maybe wordnet inside solve problem well-known tool solve,60,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['difficulty', 'semantic', 'ambiguity', 'machine', 'translation', 'use', 'maybe', 'wordnet', 'inside', 'solve', 'problem', 'well-known', 'tool', 'solve']"
102,122,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,10 local collacation - kelime ifti tarznda alaka var m ona bakarm 2 pos neighborng words - sfat m zarf m isim diye bakarm 3 surnondng bag words - cmle ncesinde konuyla alakal neyden bahsetmi hangi kelime var,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['10', 'local', 'collacation', '-', 'kelime', '\x87ifti', 'tarz\x8dnda', 'alaka', 'var', 'm\x8d', 'ona', 'bakar\x8dm', '2', 'pos', 'neighborng', 'words', '-', 's\x8dfat', 'm\x8d', 'zarf', 'm\x8d', 'isim', 'diye', 'bakarm', '3', 'surnond\x8dng', 'bag', 'words', '-', 'c\x81mle', '\x94ncesinde', 'konuyla', 'alakal\x8d', 'neyden', 'bahsetmi\x9f', 'hangi', 'kelime', 'var']"
103,124,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,machine translation challange thier many words wich one meaning make semantic ambiguition problem solve problem think use semantic similarty example use wordnet based sens disambigution find appropriate sens sentence help solving problem way thier many chooses solve sens ambiguition wordnet based corpus methods example probabilits sens using arrounding words,80,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['machine', 'translation', 'challange', 'thier', 'many', 'words', 'wich', 'one', 'meaning', 'make', 'semantic', 'ambiguition', 'problem', 'solve', 'problem', 'think', 'use', 'semantic', 'similarty', 'example', 'use', 'wordnet', 'based', 'sens', 'disambigution', 'find', 'appropriate', 'sens', 'sentence', 'help', 'solving', 'problem', 'way', 'thier', 'many', 'chooses', 'solve', 'sens', 'ambiguition', 'wordnet', 'based', 'corpus', 'methods', 'example', 'probabilits', 'sens', 'using', 'arrounding', 'words']"
104,125,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use google neural mt labeled word also predict tahmin word kind mean sentence give traning data input make decision semantic similarity mt work like brain give sentence parser sentence every word represent neuron kurar relation every words neural network bank-coast fisherman relation mt says bank coast means,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'google', 'neural', 'mt', 'labeled', 'word', 'also', 'predict', 'tahmin', 'word', 'kind', 'mean', 'sentence', 'give', 'traning', 'data', 'input', 'make', 'decision', 'semantic', 'similarity', 'mt', 'work', 'like', 'brain', 'give', 'sentence', 'parser', 'sentence', 'every', 'word', 'represent', 'neuron', 'kurar', 'relation', 'every', 'words', 'neural', 'network', 'bank-coast', 'fisherman', 'relation', 'mt', 'says', 'bank', 'coast', 'means']"
105,126,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,wordnet used solve problem using pos tagging decide path length calculated path length fisherman coast financial instution calculated meaning lower path length choosen path length statistical analyss done selection corpus required statistical analysis,80,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['wordnet', 'used', 'solve', 'problem', 'using', 'pos', 'tagging', 'decide', 'path', 'length', 'calculated', 'path', 'length', 'fisherman', 'coast', 'financial', 'instution', 'calculated', 'meaning', 'lower', 'path', 'length', 'choosen', 'path', 'length', 'statistical', 'analys\x8ds', 'done', 'selection', 'corpus', 'required', 'statistical', 'analysis']"
106,127,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,find close word meaning bank fisherman finding propare word compair meanings word keyword fisher result comparing pick suitable meaning word target languages,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['find', 'close', 'word', 'meaning', 'bank', 'fisherman', 'finding', 'propare', 'word', 'compair', 'meanings', 'word', 'keyword', 'fisher', 'result', 'comparing', 'pick', 'suitable', 'meaning', 'word', 'target', 'languages']"
107,129,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,fisherman went bank bank word use lexical analyzing,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['fisherman', 'went', 'bank', 'bank', 'word', 'use', 'lexical', 'analyzing']"
108,130,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,need use semantic ambiguites understandwhat word meaning cmlede ne ifade etti§ine kiiye ne hissettirdi§ine baklr e§er kyaslanan kelimecmleler aynysa bir sei am yaplmas problemin giderilmesi gerekletirilebilir,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['need', 'use', 'semantic', 'ambiguites', 'understandwhat', 'word', 'meaning', 'c\x81mlede', 'ne', 'ifade', 'etti§ine', 'ki\x9fiye', 'ne', 'hissettirdi§ine', 'bak\x8dl\x8dr', 'e§er', 'k\x8dyaslanan', 'kelimec\x81mleler', 'ayn\x8dysa', 'bir', 'se\x87i', 'am', 'yap\x8dlmas\x8d', 'problemin', 'giderilmesi', 'ger\x87ekle\x9ftirilebilir']"
109,133,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,fisherman went bank meaningfull semantic ambiguity semantic disambiguaty firstlyi choosed rule-based machine translationbecausei nearly word wordafter thati search semantic ambiguitybecause search lot meaning bank semantic disambiguity say semantic disambiguity therei solve 4 method disambiguity knowledge -based supervised unsupervised hybrid choose method solve,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['fisherman', 'went', 'bank', 'meaningfull', 'semantic', 'ambiguity', 'semantic', 'disambiguaty', 'firstlyi', 'choosed', 'rule-based', 'machine', 'translationbecausei', 'nearly', 'word', 'wordafter', 'thati', 'search', 'semantic', 'ambiguitybecause', 'search', 'lot', 'meaning', 'bank', 'semantic', 'disambiguity', 'say', 'semantic', 'disambiguity', 'therei', 'solve', '4', 'method', 'disambiguity', 'knowledge', '-based', 'supervised', 'unsupervised', 'hybrid', 'choose', 'method', 'solve']"
110,134,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use google neural mt method take help wordnet helping corpora find lexically similiar sentences take statistic statistic,60,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'google', 'neural', 'mt', 'method', 'take', 'help', 'wordnet', 'helping', 'corpora', 'find', 'lexically', 'similiar', 'sentences', 'take', 'statistic', 'statistic']"
111,135,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use parallel corpora translation project vector space model machine translation need firstly target language model translation model calculate probabilities firstly fisherman went bank source model disadvantage vector space model becomess useless text size long,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'parallel', 'corpora', 'translation', 'project', 'vector', 'space', 'model', 'machine', 'translation', 'need', 'firstly', 'target', 'language', 'model', 'translation', 'model', 'calculate', 'probabilities', 'firstly', 'fisherman', 'went', 'bank', 'source', 'model', 'disadvantage', 'vector', 'space', 'model', 'becomess', 'useless', 'text', 'size', 'long']"
112,137,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,find words behind meaningmeaning conceptual associationwe do not want find word meaning dictionary want see behind meaningsso investigate arround wordsneighbour wordsand try find relation wordsi use rule-basedstatistical neural machine translationsbut best model neuralsense level similarity kullanrm,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['find', 'words', 'behind', 'meaningmeaning', 'conceptual', 'associationwe', 'do', 'not', 'want', 'find', 'word', 'meaning', 'dictionary', 'want', 'see', 'behind', 'meaningsso', 'investigate', 'arround', 'wordsneighbour', 'wordsand', 'try', 'find', 'relation', 'wordsi', 'use', 'rule-basedstatistical', 'neural', 'machine', 'translationsbut', 'best', 'model', 'neuralsense', 'level', 'similarity', 'kullan\x8dr\x8dm']"
113,138,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,program look sentence first fishermans relationship coast must bank use comperable monolingual corpus fuction compares relations words first,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['program', 'look', 'sentence', 'first', 'fishermans', 'relationship', 'coast', 'must', 'bank', 'use', 'comperable', 'monolingual', 'corpus', 'fuction', 'compares', 'relations', 'words', 'first']"
114,140,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,problem occurs semantic similarity word bank find correct means bank semantic ambiguity occurs sense level word level text level solve problem use surrounding bag words means focus arround bank focus previous word bank words came bank extract correct mean word bank,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['problem', 'occurs', 'semantic', 'similarity', 'word', 'bank', 'find', 'correct', 'means', 'bank', 'semantic', 'ambiguity', 'occurs', 'sense', 'level', 'word', 'level', 'text', 'level', 'solve', 'problem', 'use', 'surrounding', 'bag', 'words', 'means', 'focus', 'arround', 'bank', 'focus', 'previous', 'word', 'bank', 'words', 'came', 'bank', 'extract', 'correct', 'mean', 'word', 'bank']"
115,141,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,need firstly target language model translation model look semantic based source coast target financial meaning use statical machine translation system solve problem word bank look used statical statical machine translation system paralel corpus co-occurence,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['need', 'firstly', 'target', 'language', 'model', 'translation', 'model', 'look', 'semantic', 'based', 'source', 'coast', 'target', 'financial', 'meaning', 'use', 'statical', 'machine', 'translation', 'system', 'solve', 'problem', 'word', 'bank', 'look', 'used', 'statical', 'statical', 'machine', 'translation', 'system', 'paralel', 'corpus', 'co-occurence']"
116,142,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,firstly see neighborhoods words understanding word noun verb use encoder decoder system input encoder system output decoder word step step enter encoder take information set machine system translate word means,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['firstly', 'see', 'neighborhoods', 'words', 'understanding', 'word', 'noun', 'verb', 'use', 'encoder', 'decoder', 'system', 'input', 'encoder', 'system', 'output', 'decoder', 'word', 'step', 'step', 'enter', 'encoder', 'take', 'information', 'set', 'machine', 'system', 'translate', 'word', 'means']"
117,143,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,problem semantic ambiguitywe use word sense disambiguationwsdwe give idetify looking sense word multiple meaning wsd many approaches use decision tree metodsemantic similarity co-ouccer graphthese approaces wsd,40,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['problem', 'semantic', 'ambiguitywe', 'use', 'word', 'sense', 'disambiguationwsdwe', 'give', 'idetify', 'looking', 'sense', 'word', 'multiple', 'meaning', 'wsd', 'many', 'approaches', 'use', 'decision', 'tree', 'metodsemantic', 'similarity', 'co-ouccer', 'graphthese', 'approaces', 'wsd']"
118,144,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,semantic disambiguation machine translation use dictionary wordnet use shortest path algorithm wordnet closest path words true sense example fisherman - bankfinancial 7 fisherman - bank coast 3,100,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['semantic', 'disambiguation', 'machine', 'translation', 'use', 'dictionary', 'wordnet', 'use', 'shortest', 'path', 'algorithm', 'wordnet', 'closest', 'path', 'words', 'true', 'sense', 'example', 'fisherman', '-', 'bankfinancial', '7', 'fisherman', '-', 'bank', 'coast', '3']"
119,146,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,10- firstly look dictionary mean bank outher words fisherman usually sea near sea work check neighbour words sentences neighbour words related money think word bank do not word related money do not word sentence anymore look different 2- check verb sentence went 3- treat machine select related meaning word example fisherman related coast meaning example contain money meaning word directly think financial institue do not therefore think fisherman find coast mean,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['10-', 'firstly', 'look', 'dictionary', 'mean', 'bank', 'outher', 'words', 'fisherman', 'usually', 'sea', 'near', 'sea', 'work', 'check', 'neighbour', 'words', 'sentences', 'neighbour', 'words', 'related', 'money', 'think', 'word', 'bank', 'do', 'not', 'word', 'related', 'money', 'do', 'not', 'word', 'sentence', 'anymore', 'look', 'different', '2-', 'check', 'verb', 'sentence', 'went', '3-', 'treat', 'machine', 'select', 'related', 'meaning', 'word', 'example', 'fisherman', 'related', 'coast', 'meaning', 'example', 'contain', 'money', 'meaning', 'word', 'directly', 'think', 'financial', 'institue', 'do', 'not', 'therefore', 'think', 'fisherman', 'find', 'coast', 'mean']"
120,147,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,mt four difficulties word order syntactic ambigious lexical ambigious semantic ambigious semantic problem types mt opinion cannot use rule based mt statistic mt use neural network solutions sense level similarity relations find homonymsynonym use vector space model solutions look cos values find better solutions,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['mt', 'four', 'difficulties', 'word', 'order', 'syntactic', 'ambigious', 'lexical', 'ambigious', 'semantic', 'ambigious', 'semantic', 'problem', 'types', 'mt', 'opinion', 'can', 'not', 'use', 'rule', 'based', 'mt', 'statistic', 'mt', 'use', 'neural', 'network', 'solutions', 'sense', 'level', 'similarity', 'relations', 'find', 'homonymsynonym', 'use', 'vector', 'space', 'model', 'solutions', 'look', 'cos', 'values', 'find', 'better', 'solutions']"
121,148,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,problem use tool give us words means example tool says two means bank word instructions look word sentence way detect means correct,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['problem', 'use', 'tool', 'give', 'us', 'words', 'means', 'example', 'tool', 'says', 'two', 'means', 'bank', 'word', 'instructions', 'look', 'word', 'sentence', 'way', 'detect', 'means', 'correct']"
122,149,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,think use istatistical machine transformation method ambiguity corpus learn many times bank word use coast meaning sentence fisherman sentence nb sentence sentence fish sea type words say bank meaning coast hear,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['think', 'use', 'istatistical', 'machine', 'transformation', 'method', 'ambiguity', 'corpus', 'learn', 'many', 'times', 'bank', 'word', 'use', 'coast', 'meaning', 'sentence', 'fisherman', 'sentence', 'nb', 'sentence', 'sentence', 'fish', 'sea', 'type', 'words', 'say', 'bank', 'meaning', 'coast', 'hear']"
123,150,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,homonym word sentence firstly check pos tag neighberhood ambiguity word sentence still ambiguity algorithm check nearest sentence semantic,20,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['homonym', 'word', 'sentence', 'firstly', 'check', 'pos', 'tag', 'neighberhood', 'ambiguity', 'word', 'sentence', 'still', 'ambiguity', 'algorithm', 'check', 'nearest', 'sentence', 'semantic']"
124,151,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,use corpus many examples feed mean level semantic similarity way example word fisherman included sentence changes behaviour various words computer expects another meaning words,0,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['use', 'corpus', 'many', 'examples', 'feed', 'mean', 'level', 'semantic', 'similarity', 'way', 'example', 'word', 'fisherman', 'included', 'sentence', 'changes', 'behaviour', 'various', 'words', 'computer', 'expects', 'another', 'meaning', 'words']"
125,154,problem like solve word sense disambiguation firstly build select raw lexical materials wordnet babelnet etc sentences word sense sense word node wordnet look nodes relation senses close enough others nodes say meaningful relationship others,need syntax information source language target language need dictionary need large parallel bilingual corpus may need pos tagger take relation need focus surrounding bag wordslike previous word order solve kind ambiguity use simple statisticprobabilistic approach need find went bank corpus corpus already translated target language find went bank source language determine authors corpus translated need find frequency different translation select frequently used sense translation exampleturkish english given input bugn havuzda yzmek istiyorum yzmek meaning like movement sport water liquit meaning seperating surface itselflike leather animal havuzda yzmek first meaning frequently second meaning translation like want swim pool today,40,en,"['problem', 'like', 'solve', 'word', 'sense', 'disambiguation', 'firstly', 'build', 'select', 'raw', 'lexical', 'materials', 'wordnet', 'babelnet', 'etc', 'sentences', 'word', 'sense', 'sense', 'word', 'node', 'wordnet', 'look', 'nodes', 'relation', 'senses', 'close', 'enough', 'others', 'nodes', 'say', 'meaningful', 'relationship', 'others']","['need', 'syntax', 'information', 'source', 'language', 'target', 'language', 'need', 'dictionary', 'need', 'large', 'parallel', 'bilingual', 'corpus', 'may', 'need', 'pos', 'tagger', 'take', 'relation', 'need', 'focus', 'surrounding', 'bag', 'wordslike', 'previous', 'word', 'order', 'solve', 'kind', 'ambiguity', 'use', 'simple', 'statisticprobabilistic', 'approach', 'need', 'find', 'went', 'bank', 'corpus', 'corpus', 'already', 'translated', 'target', 'language', 'find', 'went', 'bank', 'source', 'language', 'determine', 'authors', 'corpus', 'translated', 'need', 'find', 'frequency', 'different', 'translation', 'select', 'frequently', 'used', 'sense', 'translation', 'exampleturkish', 'english', 'given', 'input', 'bug\x81n', 'havuzda', 'y\x81zmek', 'istiyorum', 'y\x81zmek', 'meaning', 'like', 'movement', 'sport', 'water', 'liquit', 'meaning', 'seperating', 'surface', 'itselflike', 'leather', 'animal', 'havuzda', 'y\x81zmek', 'first', 'meaning', 'frequently', 'second', 'meaning', 'translation', 'like', 'want', 'swim', 'pool', 'today']"
